,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
645,0 days 01:11:29.441000,OCO,31,0 days 00:01:37.948000,9.0,1.0,,0 days 01:11:13.207000,0 days 00:00:29.049000,0 days 00:00:18.286000,0 days 00:00:50.613000,0 days 01:10:20.504000,0 days 01:10:38.790000,0 days 01:11:29.403000,274.0,299.0,,295.0,False,MEDIUM,9.0,True,Alpine,0 days 01:09:51.493000,2024-03-24 04:14:34.691,1,13.0,False,,False,False
646,0 days 01:12:58.880000,OCO,31,0 days 00:01:29.439000,10.0,2.0,0 days 01:11:31.520000,,0 days 00:00:35.229000,0 days 00:00:18.185000,0 days 00:00:36.025000,0 days 01:12:04.632000,0 days 01:12:22.817000,0 days 01:12:58.842000,270.0,319.0,301.0,225.0,False,HARD,1.0,True,Alpine,0 days 01:11:29.441000,2024-03-24 04:16:12.639,1,14.0,False,,False,False
647,0 days 01:14:22.219000,OCO,31,0 days 00:01:23.339000,11.0,2.0,,,0 days 00:00:29.052000,0 days 00:00:18.138000,0 days 00:00:36.149000,0 days 01:13:27.894000,0 days 01:13:46.032000,0 days 01:14:22.181000,268.0,316.0,300.0,307.0,False,HARD,2.0,True,Alpine,0 days 01:12:58.880000,2024-03-24 04:17:42.078,1,14.0,False,,False,True
648,0 days 01:15:45.101000,OCO,31,0 days 00:01:22.882000,12.0,2.0,,,0 days 00:00:29.059000,0 days 00:00:18.017000,0 days 00:00:35.806000,0 days 01:14:51.240000,0 days 01:15:09.257000,0 days 01:15:45.063000,270.0,319.0,301.0,305.0,True,HARD,3.0,True,Alpine,0 days 01:14:22.219000,2024-03-24 04:19:05.417,1,14.0,False,,False,True
649,0 days 01:17:08.057000,OCO,31,0 days 00:01:22.956000,13.0,2.0,,,0 days 00:00:29,0 days 00:00:17.950000,0 days 00:00:36.006000,0 days 01:16:14.063000,0 days 01:16:32.013000,0 days 01:17:08.019000,273.0,319.0,301.0,310.0,False,HARD,4.0,True,Alpine,0 days 01:15:45.101000,2024-03-24 04:20:28.299,1,14.0,False,,False,True
650,0 days 01:18:31.176000,OCO,31,0 days 00:01:23.119000,14.0,2.0,,,0 days 00:00:29.032000,0 days 00:00:17.992000,0 days 00:00:36.095000,0 days 01:17:37.051000,0 days 01:17:55.043000,0 days 01:18:31.138000,,318.0,300.0,302.0,False,HARD,5.0,True,Alpine,0 days 01:17:08.057000,2024-03-24 04:21:51.255,1,14.0,False,,False,True
651,0 days 01:19:54.267000,OCO,31,0 days 00:01:23.091000,15.0,2.0,,,0 days 00:00:28.883000,0 days 00:00:18.132000,0 days 00:00:36.076000,0 days 01:19:00.021000,0 days 01:19:18.153000,0 days 01:19:54.229000,274.0,319.0,301.0,309.0,False,HARD,6.0,True,Alpine,0 days 01:18:31.176000,2024-03-24 04:23:14.374,1,14.0,False,,False,True
652,0 days 01:21:44.932000,OCO,31,0 days 00:01:50.665000,16.0,2.0,,0 days 01:21:16.388000,0 days 00:00:28.989000,0 days 00:00:18.004000,0 days 00:01:03.672000,0 days 01:20:23.218000,0 days 01:20:41.222000,0 days 01:21:44.894000,272.0,318.0,,303.0,False,HARD,7.0,True,Alpine,0 days 01:19:54.267000,2024-03-24 04:24:37.465,26,16.0,False,,False,False
653,0 days 01:23:31.998000,OCO,31,0 days 00:01:47.066000,17.0,3.0,0 days 01:21:46.896000,,0 days 00:00:43.064000,0 days 00:00:25.261000,0 days 00:00:38.741000,0 days 01:22:27.958000,0 days 01:22:53.219000,0 days 01:23:31.960000,145.0,231.0,300.0,211.0,False,HARD,1.0,True,Alpine,0 days 01:21:44.932000,2024-03-24 04:26:28.130,67,17.0,False,,False,False
654,0 days 01:24:54.585000,OCO,31,0 days 00:01:22.587000,18.0,3.0,,,0 days 00:00:28.802000,0 days 00:00:18.118000,0 days 00:00:35.667000,0 days 01:24:00.762000,0 days 01:24:18.880000,0 days 01:24:54.547000,278.0,314.0,301.0,305.0,True,HARD,2.0,True,Alpine,0 days 01:23:31.998000,2024-03-24 04:28:15.196,1,17.0,False,,False,True
